DCGAN SIZE,VALIDATION,TEST
1%+DCGAN50%,0.55333334,0.3708371
1%+DCGAN100%,0.60833335,0.38073808
1%+DCGAN150%,0.738255,0.4230423
1%+DCGAN200%,0.78333336,0.43384337
1%+DCGAN250%,0.861244,0.4527453
1%+DCGAN500%,0.9415042,0.47524753
1%+DCGAN750%,0.9506903,0.5508551
1%+DCGAN1000%,0.96803653,0.56345636
1%+DCGAN1250%,0.9813896,0.62556255
1%+DCGAN1500%,0.9780335,0.62466246
2%+DCGAN50%,0.7022472,0.54545456
2%+DCGAN100%,0.75416666,0.54725474
2%+DCGAN150%,0.8187919,0.58325833
2%+DCGAN200%,0.8888889,0.59045905
2%+DCGAN250%,0.8827751,0.59765977
2%+DCGAN500%,0.9624478,0.6240666
2%+DCGAN750%,0.9734252,0.6723672
2%+DCGAN1000%,0.9886105,0.73537356
2%+DCGAN1250%,0.99195045,0.7641764
2%+DCGAN1500%,0.99164927,0.77947795
5%+DCGAN50%,0.8370536,0.7119712
5%+DCGAN100%,0.918197,0.75247526
5%+DCGAN150%,0.9303882,0.79657966
5%+DCGAN200%,0.95545655,0.80468047
5%+DCGAN250%,0.96940726,0.810081
5%+DCGAN500%,0.98941505,0.85778576
5%+DCGAN750%,0.9948859,0.8793879
5%+DCGAN1000%,0.9964807,0.890189
5%+DCGAN1250%,0.9980183,0.89378935
5%+DCGAN1500%,0.9985374,0.909991
10%+DCGAN50%,0.9431438,0.8631863
10%+DCGAN100%,0.9791145,0.89288926
10%+DCGAN150%,0.9826087,0.89558953
10%+DCGAN200%,0.9860724,0.9009901
10%+DCGAN250%,0.9880554,0.90639067
10%+DCGAN500%,0.9966574,0.92619264
10%+DCGAN750%,0.9968529,0.8991899
10%+DCGAN1000%,0.9981766,0.90639067
10%+DCGAN1250%,0.9986378,0.9135914
10%+DCGAN1500%,0.9989553,0.90639067
20%+DCGAN50%,0.990524,0.9216922
20%+DCGAN100%,0.9945675,0.9288929
20%+DCGAN150%,0.9966555,0.92709273
20%+DCGAN200%,0.99359155,0.9189919
20%+DCGAN250%,0.99593884,0.909991
20%+DCGAN500%,0.99777067,0.90819085
20%+DCGAN750%,0.99862283,0.9045905
20%+DCGAN1000%,0.999012,0.9126913
20%+DCGAN1250%,0.9993188,0.90639067
20%+DCGAN1500%,0.9994775,0.90639067
50%+DCGAN50%,0.9915273,0.91629165
50%+DCGAN100%,0.9961545,0.9225923
50%+DCGAN150%,0.997191,0.9144915
50%+DCGAN200%,0.99565315,0.9207921
50%+DCGAN250%,0.997038,0.90909094
50%+DCGAN500%,0.9984952,0.90819085
50%+DCGAN750%,0.9991345,0.9135914
50%+DCGAN1000%,0.9991184,0.9054906
50%+DCGAN1250%,0.99928164,0.9036904
50%+DCGAN1500%,0.9994775,0.9045905
100%+DCGAN50%,0.9948724,0.9216922
100%+DCGAN100%,0.996322,0.91719174
100%+DCGAN150%,0.99685663,0.9144915
100%+DCGAN200%,0.9982724,0.9189919
100%+DCGAN250%,0.9979459,0.91629165
100%+DCGAN500%,0.9988575,0.9135914
100%+DCGAN750%,0.9991542,0.909991
100%+DCGAN1000%,0.99933124,0.9054906
100%+DCGAN1250%,0.9994303,0.90819085
100%+DCGAN1500%,0.99963427,0.9027903
